bezirk,brw,nutzung,stichtag,anwert,verfahrensart,gfz,beitragszustand,lumnum,brwid
Spandau,400,W - Wohngebiet,2026-01-01,,,0.7,Beitragsfrei nach BauGB,,1002
Mitte,2700,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1005
Treptow-Köpenick,540,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1010
Pankow,200,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1013
Neukölln,500,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1014
Treptow-Köpenick,250,Gp - Gewerbe produzierend,2026-01-01,EU,Entw,,Beitragsfrei nach BauGB,,1017
Mitte,680,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1018
Treptow-Köpenick,450,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1019
Mitte,5500,M2 - Mischgebiet,2026-01-01,,,3.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1021
Treptow-Köpenick,410,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1023
Mitte,580,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1028
Pankow,200,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1031
Lichtenberg,400,W - Wohngebiet,2026-01-01,,,0.7,Beitragsfrei nach BauGB,,1032
Friedrichshain-Kreuzberg,7000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1033
Mitte,430,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1034
Lichtenberg,800,W - Wohngebiet,2026-01-01,,,1.3,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1035
