place_id,name,rating,lat,lng,type,review_text,review_rating,review_time,review_author
ChIJ8x6YczxTqEcR5oK51Kc1n8Q,DHL Packstation 157,3.9,52.5644728,13.3297405,DHL Packstation,"Gestern am 3.12.2025, 21:45 da gewesen um Pakete abzuholen .DEFEKT!!!
Heute 04.12.2025 , 8:40 : DEFEKT!!!
Email an DHL geschickt, habe auch umgehend Feedback bekommen das sich drum gekümmert wird!
Erneut um 11:15 dagewesen: DEFEKT‼️😡😡😡
Was nun? Freue mich über Geistesblitze!!😀",2,vor 4 Monaten,Stefan Zecha
ChIJ8x6YczxTqEcR5oK51Kc1n8Q,DHL Packstation 157,3.9,52.5644728,13.3297405,DHL Packstation,Packstation erneut defekt ich versuche seit gestern meine Pakete da rauszuholen!!! 🤷‍♂️,1,vor 4 Monaten,son0
ChIJ8x6YczxTqEcR5oK51Kc1n8Q,DHL Packstation 157,3.9,52.5644728,13.3297405,DHL Packstation,"Alles läuft super, wenn man die Nummer hat und das Paket hier landet und nicht 5 Busstationen weiter...",5,vor einem Jahr,Maureen Lorenz
ChIJ8x6YczxTqEcR5oK51Kc1n8Q,DHL Packstation 157,3.9,52.5644728,13.3297405,DHL Packstation,Alles super. Nur das Wetter stört ein bisschen. Man kann kaum den Bildschirm erkennen wenn die Sonne scheint.,4,vor 2 Jahren,Petra Grundmann
ChIJ8x6YczxTqEcR5oK51Kc1n8Q,DHL Packstation 157,3.9,52.5644728,13.3297405,DHL Packstation,"Ich fand toll so ein Packstation auf Lidl Parkplatz.
Gleich einkaufen und Sendung abholen",5,vor 2 Jahren,N.B.A The best of the west
ChIJi3MZpEFTqEcREMBj4zbOXRo,DHL Packstation 135,4.2,52.5652881,13.3279002,DHL Packstation,Bei dieser Packstation bin ich vor allem von der Überdachung begeistert. So werden bei Regen die Pakete nicht nass.,5,vor 2 Jahren,Philipp Nitzsche
ChIJi3MZpEFTqEcREMBj4zbOXRo,DHL Packstation 135,4.2,52.5652881,13.3279002,DHL Packstation,"Auch bei Regen kann man seine Pakete trocken abholen. Man parkt direkt vor den Fächern und setzt dann nur zurück, um weiterzufahren.",5,vor einem Jahr,Birgit Prehn
ChIJi3MZpEFTqEcREMBj4zbOXRo,DHL Packstation 135,4.2,52.5652881,13.3279002,DHL Packstation,Große Packstation mit Funktion zum Drucken der Paketmarken. Parken ist auch wunderbar möglich. Hat bisher immer alles geklappt und die Station scheint nie allzu voll zu sein.,5,vor 4 Jahren,Sara G.
ChIJi3MZpEFTqEcREMBj4zbOXRo,DHL Packstation 135,4.2,52.5652881,13.3279002,DHL Packstation,Drucker zeigt an das es gedruckt hat aber es kommt kein Etikett raus. Stornieren geht auch nicht da das Etikett angeblich gedruckt wurde. Nun muss ich sehen wie ich rückerstattet kriege,1,vor 4 Jahren,H B
ChIJi3MZpEFTqEcREMBj4zbOXRo,DHL Packstation 135,4.2,52.5652881,13.3279002,DHL Packstation,Schön hell erleuchtet. Man steht im trockenen. Super Erfindung diese Box. Man kommt 24 Stunden an seine Pakete.,5,vor einem Jahr,Petra Grundmann
